Ingredient,Quantity,Unit,Category,Recipe,Recipe Category,Recipe Difficulty,Calories,Carbohydrates,Proteins,Fats,Vitamins,Minerals,Dietary Preferences,Dietary Restrictions,Health Goals,Rating,Comments,Ingredient Substitutions,Serving Size,Prep Time (mins),Cook Time (mins)
Broccoli,168,ounces,Vegetables,Broccoli Salad,Lunch,Medium,170,44,8,32,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,1,32,115
Rice,78,cups,Grains,Tomato Soup,Soup,Medium,249,25,43,6,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,3,23,37
Tomato,149,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,179,6,8,35,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,1,20,86
Spinach,84,slices,Dairy,Rice Pilaf,Snack,Hard,167,37,48,37,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,3,21,31
Beef,200,grams,Proteins,Beef Stir-Fry,Dinner,Medium,496,42,37,40,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,3,58,74
Lettuce,113,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,235,37,50,13,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,3,55,107
Potato,59,cups,Grains,Mashed Potatoes,Side Dish,Medium,163,38,29,40,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,4,21,43
Carrot,175,pieces,Vegetables,Carrot Soup,Soup,Medium,195,49,32,31,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,1,31,86
Onion,80,slices,Vegetables,Onion Rings,Snack,Medium,106,43,34,15,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,2,55,52
Chicken,85,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,121,33,9,6,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,3,41,67
Broccoli,157,ounces,Vegetables,Broccoli Salad,Lunch,Medium,175,46,48,14,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,1,50,94
Rice,179,cups,Grains,Tomato Soup,Soup,Medium,178,6,15,8,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,1,33,116
Tomato,119,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,340,34,23,33,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,4,43,11
Spinach,137,slices,Dairy,Rice Pilaf,Snack,Hard,202,11,17,21,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,3,5,34
Beef,167,grams,Proteins,Beef Stir-Fry,Dinner,Medium,478,45,24,17,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,1,55,57
Lettuce,120,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,184,5,32,26,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,4,10,110
Potato,145,cups,Grains,Mashed Potatoes,Side Dish,Medium,463,10,17,23,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,2,12,80
Carrot,164,pieces,Vegetables,Carrot Soup,Soup,Medium,282,43,34,15,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,3,8,105
Onion,136,slices,Vegetables,Onion Rings,Snack,Medium,184,28,50,22,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,2,7,114
Chicken,173,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,494,41,6,34,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,3,21,111
Broccoli,53,ounces,Vegetables,Broccoli Salad,Lunch,Medium,132,24,12,35,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,1,45,35
Rice,60,cups,Grains,Tomato Soup,Soup,Medium,367,11,50,49,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,4,7,89
Tomato,93,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,312,19,19,27,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,2,52,33
Spinach,153,slices,Dairy,Rice Pilaf,Snack,Hard,207,28,7,33,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,4,56,19
Beef,52,grams,Proteins,Beef Stir-Fry,Dinner,Medium,177,15,36,17,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,4,47,38
Lettuce,189,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,144,26,31,10,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,3,49,18
Potato,99,cups,Grains,Mashed Potatoes,Side Dish,Medium,470,27,12,26,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,1,13,43
Carrot,130,pieces,Vegetables,Carrot Soup,Soup,Medium,229,49,17,33,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,2,46,106
Onion,154,slices,Vegetables,Onion Rings,Snack,Medium,219,49,21,40,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,4,60,120
Chicken,124,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,358,10,29,31,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,3,22,89
Broccoli,71,ounces,Vegetables,Broccoli Salad,Lunch,Medium,236,22,13,9,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,1,19,91
Rice,62,cups,Grains,Tomato Soup,Soup,Medium,210,34,13,16,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,2,19,73
Tomato,111,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,223,14,28,43,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,2,55,70
Spinach,98,slices,Dairy,Rice Pilaf,Snack,Hard,152,42,48,39,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,3,18,26
Beef,61,grams,Proteins,Beef Stir-Fry,Dinner,Medium,176,37,40,35,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,2,37,38
Lettuce,177,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,348,38,29,21,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,3,29,52
Potato,193,cups,Grains,Mashed Potatoes,Side Dish,Medium,465,40,30,30,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,4,30,105
Carrot,77,pieces,Vegetables,Carrot Soup,Soup,Medium,235,16,28,27,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,1,12,40
Onion,151,slices,Vegetables,Onion Rings,Snack,Medium,254,30,18,10,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,1,56,92
Chicken,72,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,323,8,20,11,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,4,55,118
Broccoli,149,ounces,Vegetables,Broccoli Salad,Lunch,Medium,295,10,6,43,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,3,59,47
Rice,189,cups,Grains,Tomato Soup,Soup,Medium,143,48,43,12,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,3,28,33
Tomato,196,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,332,50,15,12,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,3,20,103
Spinach,181,slices,Dairy,Rice Pilaf,Snack,Hard,209,27,48,50,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,1,44,99
Beef,156,grams,Proteins,Beef Stir-Fry,Dinner,Medium,447,34,29,31,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,3,49,40
Lettuce,52,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,192,40,27,16,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,1,46,103
Potato,59,cups,Grains,Mashed Potatoes,Side Dish,Medium,370,8,27,42,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,2,46,115
Carrot,156,pieces,Vegetables,Carrot Soup,Soup,Medium,307,8,21,16,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,4,52,68
Onion,117,slices,Vegetables,Onion Rings,Snack,Medium,323,16,19,7,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,4,24,24
Chicken,180,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,155,14,22,5,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,1,46,54
Broccoli,178,ounces,Vegetables,Broccoli Salad,Lunch,Medium,497,38,25,34,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,1,39,32
Rice,142,cups,Grains,Tomato Soup,Soup,Medium,329,23,36,13,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,2,33,46
Tomato,193,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,246,23,31,24,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,2,10,58
Spinach,189,slices,Dairy,Rice Pilaf,Snack,Hard,311,40,41,10,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,4,19,114
Beef,77,grams,Proteins,Beef Stir-Fry,Dinner,Medium,468,34,31,41,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,4,23,47
Lettuce,162,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,138,31,50,19,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,2,14,86
Potato,108,cups,Grains,Mashed Potatoes,Side Dish,Medium,213,14,40,37,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,1,50,100
Carrot,197,pieces,Vegetables,Carrot Soup,Soup,Medium,402,11,34,8,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,1,34,117
Onion,82,slices,Vegetables,Onion Rings,Snack,Medium,392,22,47,35,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,4,33,81
Chicken,136,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,231,44,44,33,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,3,25,61
Broccoli,104,ounces,Vegetables,Broccoli Salad,Lunch,Medium,237,36,17,50,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,3,12,105
Rice,143,cups,Grains,Tomato Soup,Soup,Medium,353,31,46,29,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,3,37,63
Tomato,119,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,251,28,11,42,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,3,22,21
Spinach,79,slices,Dairy,Rice Pilaf,Snack,Hard,308,36,9,27,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,2,28,53
Beef,169,grams,Proteins,Beef Stir-Fry,Dinner,Medium,160,7,17,18,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,1,8,60
Lettuce,91,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,381,49,10,27,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,3,11,105
Potato,191,cups,Grains,Mashed Potatoes,Side Dish,Medium,459,11,23,31,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,2,35,21
Carrot,147,pieces,Vegetables,Carrot Soup,Soup,Medium,468,23,28,12,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,1,9,95
Onion,109,slices,Vegetables,Onion Rings,Snack,Medium,143,39,17,40,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,4,60,32
Chicken,65,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,258,26,39,37,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,1,56,84
Broccoli,55,ounces,Vegetables,Broccoli Salad,Lunch,Medium,383,34,22,20,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,4,42,56
Rice,66,cups,Grains,Tomato Soup,Soup,Medium,216,47,5,6,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,4,22,33
Tomato,177,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,247,16,35,10,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,3,48,98
Spinach,82,slices,Dairy,Rice Pilaf,Snack,Hard,251,16,32,39,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,3,27,39
Beef,147,grams,Proteins,Beef Stir-Fry,Dinner,Medium,412,38,44,41,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,4,21,26
Lettuce,69,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,301,13,16,25,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,1,27,39
Potato,165,cups,Grains,Mashed Potatoes,Side Dish,Medium,436,29,45,32,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,4,28,88
Carrot,118,pieces,Vegetables,Carrot Soup,Soup,Medium,181,13,9,31,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,1,12,101
Onion,114,slices,Vegetables,Onion Rings,Snack,Medium,442,49,44,9,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,4,44,99
Chicken,83,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,469,7,5,30,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,1,44,74
Broccoli,176,ounces,Vegetables,Broccoli Salad,Lunch,Medium,149,20,40,40,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,2,55,24
Rice,113,cups,Grains,Tomato Soup,Soup,Medium,487,28,37,32,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,4,50,11
Tomato,84,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,193,28,10,17,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,2,11,49
Spinach,84,slices,Dairy,Rice Pilaf,Snack,Hard,404,23,10,46,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,1,43,52
Beef,191,grams,Proteins,Beef Stir-Fry,Dinner,Medium,112,42,33,39,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,4,57,27
Lettuce,183,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,193,39,45,39,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,2,38,95
Potato,84,cups,Grains,Mashed Potatoes,Side Dish,Medium,336,9,46,14,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,1,28,22
Carrot,167,pieces,Vegetables,Carrot Soup,Soup,Medium,223,36,33,17,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,1,9,19
Onion,147,slices,Vegetables,Onion Rings,Snack,Medium,121,15,12,33,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,2,20,105
Chicken,105,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,396,40,14,17,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,1,20,61
Broccoli,198,ounces,Vegetables,Broccoli Salad,Lunch,Medium,385,11,22,36,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,1,15,79
Rice,132,cups,Grains,Tomato Soup,Soup,Medium,393,48,45,36,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,2,14,25
Tomato,93,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,334,23,49,30,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,2,46,18
Spinach,128,slices,Dairy,Rice Pilaf,Snack,Hard,421,16,8,26,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,2,14,96
Beef,135,grams,Proteins,Beef Stir-Fry,Dinner,Medium,346,13,23,12,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,1,34,53
Lettuce,79,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,281,48,30,42,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,1,28,84
Potato,135,cups,Grains,Mashed Potatoes,Side Dish,Medium,168,38,22,49,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,4,42,18
Carrot,180,pieces,Vegetables,Carrot Soup,Soup,Medium,310,29,28,43,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,4,21,32
Onion,131,slices,Vegetables,Onion Rings,Snack,Medium,316,15,32,12,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,1,14,62
Chicken,103,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,438,12,36,28,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,4,11,58
Broccoli,184,ounces,Vegetables,Broccoli Salad,Lunch,Medium,258,34,29,25,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,4,5,111
Rice,191,cups,Grains,Tomato Soup,Soup,Medium,441,18,15,48,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,1,27,77
Tomato,183,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,219,32,28,38,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,4,48,32
Spinach,101,slices,Dairy,Rice Pilaf,Snack,Hard,273,18,28,20,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,4,17,97
Beef,95,grams,Proteins,Beef Stir-Fry,Dinner,Medium,308,42,43,45,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,4,17,86
Lettuce,85,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,423,15,7,16,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,1,54,43
Potato,89,cups,Grains,Mashed Potatoes,Side Dish,Medium,484,46,37,36,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,2,58,78
Carrot,119,pieces,Vegetables,Carrot Soup,Soup,Medium,232,30,30,23,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,1,50,97
Onion,168,slices,Vegetables,Onion Rings,Snack,Medium,183,19,47,33,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,4,60,107
Chicken,198,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,158,20,14,15,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,2,23,110
Broccoli,149,ounces,Vegetables,Broccoli Salad,Lunch,Medium,500,31,49,47,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,1,7,22
Rice,180,cups,Grains,Tomato Soup,Soup,Medium,154,16,42,37,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,3,50,25
Tomato,121,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,293,44,32,5,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,3,47,95
Spinach,128,slices,Dairy,Rice Pilaf,Snack,Hard,300,35,34,14,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,4,47,99
Beef,192,grams,Proteins,Beef Stir-Fry,Dinner,Medium,241,24,50,26,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,2,26,112
Lettuce,77,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,124,42,44,39,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,3,11,30
Potato,195,cups,Grains,Mashed Potatoes,Side Dish,Medium,366,41,49,38,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,2,27,39
Carrot,195,pieces,Vegetables,Carrot Soup,Soup,Medium,421,13,29,46,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,1,13,29
Onion,59,slices,Vegetables,Onion Rings,Snack,Medium,242,12,18,14,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,1,59,90
Chicken,102,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,364,25,7,20,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,4,25,30
Broccoli,103,ounces,Vegetables,Broccoli Salad,Lunch,Medium,253,14,42,28,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,2,58,42
Rice,190,cups,Grains,Tomato Soup,Soup,Medium,492,30,5,15,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,3,57,102
Tomato,93,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,231,29,23,36,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,1,14,19
Spinach,178,slices,Dairy,Rice Pilaf,Snack,Hard,443,15,43,28,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,3,35,24
Beef,188,grams,Proteins,Beef Stir-Fry,Dinner,Medium,329,34,30,11,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,3,47,80
Lettuce,90,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,131,50,21,11,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,4,43,33
Potato,149,cups,Grains,Mashed Potatoes,Side Dish,Medium,101,9,35,12,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,1,56,94
Carrot,198,pieces,Vegetables,Carrot Soup,Soup,Medium,121,47,21,14,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,3,16,58
Onion,76,slices,Vegetables,Onion Rings,Snack,Medium,432,31,37,47,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,4,20,90
Chicken,52,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,197,10,13,35,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,3,20,38
Broccoli,147,ounces,Vegetables,Broccoli Salad,Lunch,Medium,397,9,50,49,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,2,9,41
Rice,156,cups,Grains,Tomato Soup,Soup,Medium,355,6,33,37,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,1,46,80
Tomato,187,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,111,12,9,7,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,1,38,59
Spinach,162,slices,Dairy,Rice Pilaf,Snack,Hard,372,5,27,18,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,2,51,24
Beef,135,grams,Proteins,Beef Stir-Fry,Dinner,Medium,210,31,8,28,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,1,34,78
Lettuce,113,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,283,50,11,22,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,3,9,115
Potato,149,cups,Grains,Mashed Potatoes,Side Dish,Medium,113,43,32,12,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,2,37,87
Carrot,107,pieces,Vegetables,Carrot Soup,Soup,Medium,478,49,37,16,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,4,29,105
Onion,112,slices,Vegetables,Onion Rings,Snack,Medium,451,48,43,23,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,3,14,54
Chicken,71,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,372,13,17,32,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,4,12,10
Broccoli,145,ounces,Vegetables,Broccoli Salad,Lunch,Medium,156,8,37,30,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,3,54,53
Rice,130,cups,Grains,Tomato Soup,Soup,Medium,344,23,38,16,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,1,45,58
Tomato,57,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,313,32,14,48,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,3,36,12
Spinach,94,slices,Dairy,Rice Pilaf,Snack,Hard,128,43,18,45,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,1,58,46
